team,opponent,home_away,round,date,status,total_shots,shots_on_target,fouls,offsides,goal_kicks,throw_ins,hit_woodwork,yellow_cards,red_cards,total_cards,corners,opp_total_shots,opp_shots_on_target,opp_fouls,opp_offsides,opp_goal_kicks,opp_throw_ins,opp_hit_woodwork,opp_yellow_cards,opp_red_cards,opp_total_cards,opp_corners
paris,Olympique de Marseille,away,9,2024-10-27 19:45:00,Ended,19,8,7,8,5,8,0,0,0,0,2,5,1,4,2,13,15,0,1,1,2,1
paris,Paris Saint-Germain,away,10,2024-11-02 16:00:00,Ended,13,2,20,3,10,7,0,4,1,5,4,18,8,3,2,8,13,1,1,0,1,7
paris,Angers,away,11,2024-11-09 20:00:00,Ended,26,12,16,0,7,13,1,3,0,3,8,10,3,5,3,12,6,0,0,0,0,6
paris,Paris Saint-Germain,away,12,2024-11-22 20:00:00,Ended,11,2,14,0,5,20,0,2,0,2,5,17,8,11,2,6,14,0,1,0,1,7
paris,Paris Saint-Germain,away,13,2024-11-30 20:00:00,Ended,5,2,6,2,10,10,0,0,0,0,3,24,10,3,1,4,27,1,0,0,0,9
paris,Auxerre,away,14,2024-12-06 20:00:00,Ended,24,11,7,4,4,24,1,1,0,1,15,6,2,8,3,10,17,0,2,0,2,3
paris,Paris Saint-Germain,away,15,2024-12-15 19:45:00,Ended,7,3,8,3,6,11,0,3,0,3,3,13,6,7,2,3,20,0,2,0,2,4
paris,AS Monaco,away,16,2024-12-18 20:00:00,Ended,17,12,11,1,7,26,2,0,0,0,9,15,5,11,3,5,12,0,2,0,2,1
paris,Paris Saint-Germain,away,17,2025-01-12 19:45:00,Ended,8,3,11,0,10,16,0,2,0,2,3,25,9,16,2,2,19,0,1,0,1,7
paris,RC Lens,away,18,2025-01-18 16:00:00,Ended,9,7,8,0,1,25,0,3,0,3,1,10,5,12,5,2,18,0,1,0,1,6
paris,Paris Saint-Germain,away,19,2025-01-25 20:05:00,Ended,6,3,13,3,11,10,0,2,0,2,1,18,7,13,0,6,19,1,2,0,2,8
paris,Stade Brestois,away,20,2025-02-01 16:00:00,Ended,14,7,12,0,4,12,1,0,0,0,7,14,7,9,3,7,16,0,1,0,1,4
paris,Paris Saint-Germain,away,21,2025-02-07 20:05:00,Ended,9,3,11,5,9,15,0,0,0,0,1,16,7,9,1,6,19,0,1,0,1,1
paris,Toulouse,away,22,2025-02-15 20:05:00,Ended,20,6,6,1,8,16,3,0,0,0,2,14,4,9,1,13,13,0,2,0,2,5
paris,Olympique Lyonnais,away,23,2025-02-23 19:45:00,Ended,15,8,8,1,4,15,0,1,0,1,4,14,7,12,4,8,11,0,1,0,1,5
paris,Paris Saint-Germain,away,24,2025-03-01 20:05:00,Ended,6,2,10,0,9,11,0,2,0,2,3,26,11,6,3,4,17,0,0,0,0,9
paris,Stade Rennais,away,25,2025-03-08 16:00:00,Ended,19,9,6,0,2,24,0,4,0,4,2,13,3,11,1,11,23,1,1,0,1,3
paris,Paris Saint-Germain,away,26,2025-03-16 19:45:00,Ended,11,2,9,4,8,16,0,0,0,0,5,16,5,7,4,7,12,1,1,0,1,5
paris,Saint-Étienne,away,27,2025-03-29 18:00:00,Ended,22,10,12,0,5,16,1,0,0,0,6,11,2,9,1,7,20,0,2,0,2,3
paris,Paris Saint-Germain,away,28,2025-04-05 15:00:00,Ended,4,0,12,4,10,5,0,3,0,3,1,20,6,7,1,3,18,0,0,0,0,5
paris,Nantes,away,29,2025-04-13 15:00:00,Postponed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
paris,Nantes,away,29,2025-04-22 18:45:00,Ended,10,5,9,1,3,16,1,0,0,0,4,8,2,5,1,8,21,0,2,0,2,4
paris,Paris Saint-Germain,away,30,2025-04-19 15:00:00,Ended,9,1,10,0,5,9,0,0,0,0,3,18,11,7,1,9,20,0,0,0,0,7
paris,Paris Saint-Germain,away,31,2025-04-25 18:45:00,Ended,7,3,11,2,11,12,0,1,0,1,0,32,13,9,0,2,19,0,3,0,3,17
paris,RC Strasbourg,away,32,2025-05-03 15:00:00,Ended,20,4,13,3,3,20,0,2,0,2,2,9,2,14,4,9,12,0,1,0,1,6
paris,Montpellier,away,33,2025-05-10 19:00:00,Ended,10,8,11,0,2,10,1,1,0,1,4,9,4,14,1,6,13,0,1,0,1,5
paris,Paris Saint-Germain,away,34,2025-05-17 19:00:00,Ended,7,2,9,1,10,8,0,2,0,2,2,21,9,10,1,3,12,2,1,0,1,5
